date,store_id,region,day_of_week,total_sales,nb_customers
2020-06-07,17287,California,6,3511.61,206
2020-06-01,80069,New York,0,838.99,49
2020-06-02,80069,New York,1,880.1,51
2020-06-03,80069,New York,2,859.54,50
2020-06-04,80069,New York,3,1126.81,66
2020-06-05,80069,New York,4,1496.86,88
2020-06-06,80069,New York,5,2607.03,153
2020-06-07,80069,New York,6,1455.74,85
2020-06-01,93292,California,0,2915.41,171
2020-06-02,93292,California,1,2977.08,175
2020-06-03,93292,California,2,2997.64,176
2020-06-04,93292,California,3,3244.34,190
2020-06-05,93292,California,4,3470.49,204
2020-06-06,93292,California,5,4477.86,263
2020-06-07,93292,California,6,3491.05,205
2020-06-01,99056,New York,0,715.63,42
2020-06-02,99056,New York,1,818.43,48
2020-06-03,99056,New York,2,880.1,51
2020-06-04,99056,New York,3,1209.04,71
2020-06-05,99056,New York,4,1537.98,90
2020-06-06,99056,New York,5,2607.03,153
2020-06-07,99056,New York,6,1455.74,85
2020-06-01,33873,California,0,2894.85,170
2020-06-02,33873,California,1,2894.85,170
2020-06-03,33873,California,2,3079.88,181
2020-06-04,33873,California,3,3141.55,184
2020-06-05,33873,California,4,3532.17,207
2020-06-06,33873,California,5,4601.21,270
2020-06-07,33873,California,6,3511.61,206
2020-06-01,15071,New York,0,736.19,43
2020-06-02,15071,New York,1,818.43,48
2020-06-03,15071,New York,2,941.78,55
2020-06-04,15071,New York,3,1044.57,61
2020-06-05,15071,New York,4,1435.19,84
2020-06-06,15071,New York,5,2586.47,152
2020-06-07,15071,New York,6,1517.42,89
2020-06-01,25905,California,0,2874.29,169
2020-06-02,25905,California,1,3018.2,177
2020-06-03,25905,California,2,2935.97,172
2020-06-04,25905,California,3,3264.9,192
2020-06-05,25905,California,4,3470.49,204
2020-06-06,25905,California,5,4662.89,274
2020-06-07,25905,California,6,3634.96,213
2020-06-01,20896,New York,0,880.1,51
2020-06-02,20896,New York,1,797.87,46
2020-06-03,20896,New York,2,1024.01,60
2020-06-04,20896,New York,3,1085.69,63
2020-06-05,20896,New York,4,1579.1,92
2020-06-06,20896,New York,5,2524.79,148
2020-06-07,20896,New York,6,1517.42,89
2020-06-01,56416,California,0,2750.94,161
2020-06-02,56416,California,1,2977.08,175
2020-06-03,56416,California,2,2935.97,172
2020-06-04,56416,California,3,3244.34,190
2020-06-05,56416,California,4,3491.05,205
2020-06-06,56416,California,5,4518.98,265
2020-06-07,56416,California,6,3573.28,210
2020-06-01,55075,New York,0,715.63,42
2020-06-02,55075,New York,1,859.54,50
2020-06-03,55075,New York,2,1065.13,62
2020-06-04,55075,New York,3,1044.57,61
2020-06-05,55075,New York,4,1496.86,88
2020-06-06,55075,New York,5,2442.56,143
2020-06-07,55075,New York,6,1537.98,90
2020-06-01,20157,California,0,2771.5,163
2020-06-02,20157,California,1,2935.97,172
2020-06-03,20157,California,2,2997.64,176
2020-06-04,20157,California,3,3264.9,192
2020-06-05,20157,California,4,3491.05,205
2020-06-06,20157,California,5,4621.77,271
2020-06-07,20157,California,6,3552.72,208
2020-06-01,11454,New York,0,736.19,43
2020-06-02,11454,New York,1,900.66,52
2020-06-03,11454,New York,2,1065.13,62
2020-06-04,11454,New York,3,1085.69,63
2020-06-05,11454,New York,4,1435.19,84
2020-06-06,11454,New York,5,2504.23,147
2020-06-07,11454,New York,6,1496.86,88
2020-06-01,30133,California,0,2812.61,165
2020-06-02,30133,California,1,3018.2,177
2020-06-03,30133,California,2,2977.08,175
2020-06-04,30133,California,3,3120.99,183
2020-06-05,30133,California,4,3491.05,205
2020-06-06,30133,California,5,4621.77,271
2020-06-07,30133,California,6,3511.61,206
2020-06-01,37300,New York,0,838.99,49
2020-06-02,37300,New York,1,921.22,54
2020-06-03,37300,New York,2,962.34,56
2020-06-04,37300,New York,3,1209.04,71
2020-06-05,37300,New York,4,1435.19,84
2020-06-06,37300,New York,5,2463.12,144
2020-06-07,37300,New York,6,1579.1,92
2020-06-01,62923,California,0,2833.17,166
2020-06-02,62923,California,1,2812.61,165
2020-06-03,62923,California,2,2915.41,171
2020-06-04,62923,California,3,3182.67,187
2020-06-05,62923,California,4,3491.05,205
2020-06-06,62923,California,5,4662.89,274
2020-06-07,62923,California,6,3449.93,202
2020-06-01,19929,New York,0,818.43,48
2020-06-02,19929,New York,1,859.54,50
2020-06-03,19929,New York,2,1044.57,61
2020-06-04,19929,New York,3,1147.36,67
2020-06-05,19929,New York,4,1496.86,88
2020-06-06,19929,New York,5,2442.56,143
2020-06-07,19929,New York,6,1558.54,91
2020-06-01,90826,California,0,2792.05,164
2020-06-02,90826,California,1,2915.41,171
2020-06-03,90826,California,2,3059.32,179
2020-06-04,90826,California,3,3285.46,193
2020-06-05,90826,California,4,3634.96,213
2020-06-06,90826,California,5,4518.98,265
2020-06-07,90826,California,6,3491.05,205
2020-06-01,53903,New York,0,736.19,43
2020-06-02,53903,New York,1,797.87,46
2020-06-03,53903,New York,2,1003.45,59
2020-06-04,53903,New York,3,1209.04,71
2020-06-05,53903,New York,4,1394.07,82
2020-06-06,53903,New York,5,2504.23,147
2020-06-07,53903,New York,6,1537.98,90
2020-06-01,60643,California,0,2915.41,171
2020-06-02,60643,California,1,2956.52,173
2020-06-03,60643,California,2,2956.52,173
2020-06-04,60643,California,3,3223.79,189
2020-06-05,60643,California,4,3634.96,213
2020-06-06,60643,California,5,4621.77,271
2020-06-07,60643,California,6,3491.05,205
2020-06-01,83999,New York,0,736.19,43
2020-06-02,83999,New York,1,777.31,45
2020-06-03,83999,New York,2,941.78,55
2020-06-04,83999,New York,3,1188.48,69
2020-06-05,83999,New York,4,1455.74,85
2020-06-06,83999,New York,5,2607.03,153
2020-06-07,83999,New York,6,1394.07,82
2020-06-01,51523,California,0,2874.29,169
2020-06-02,51523,California,1,2894.85,170
2020-06-03,51523,California,2,3038.76,178
2020-06-04,51523,California,3,3120.99,183
2020-06-05,51523,California,4,3532.17,207
2020-06-06,51523,California,5,4642.33,273
2020-06-07,51523,California,6,3532.17,207
2020-06-01,64235,New York,0,818.43,48
2020-06-02,64235,New York,1,921.22,54
2020-06-03,64235,New York,2,1024.01,60
2020-06-04,64235,New York,3,1065.13,62
2020-06-05,64235,New York,4,1373.51,80
2020-06-06,64235,New York,5,2483.68,146
2020-06-07,64235,New York,6,1476.3,86
2020-06-01,37611,California,0,2853.73,167
2020-06-02,37611,California,1,2935.97,172
2020-06-03,37611,California,2,3079.88,181
2020-06-04,37611,California,3,3182.67,187
2020-06-05,37611,California,4,3470.49,204
2020-06-06,37611,California,5,4601.21,270
2020-06-07,37611,California,6,3634.96,213
2020-06-01,67086,New York,0,880.1,51
2020-06-02,67086,New York,1,838.99,49
2020-06-03,67086,New York,2,1024.01,60
2020-06-04,67086,New York,3,1209.04,71
2020-06-05,67086,New York,4,1537.98,90
2020-06-06,67086,New York,5,2422.0,142
2020-06-07,67086,New York,6,1414.63,83
2020-06-01,82861,California,0,2874.29,169
2020-06-02,82861,California,1,2812.61,165
2020-06-03,82861,California,2,2956.52,173
2020-06-04,82861,California,3,3244.34,190
2020-06-05,82861,California,4,3532.17,207
2020-06-06,82861,California,5,4560.1,268
2020-06-07,82861,California,6,3532.17,207
2020-06-01,53059,New York,0,859.54,50
2020-06-02,53059,New York,1,900.66,52
2020-06-03,53059,New York,2,1065.13,62
2020-06-04,53059,New York,3,1106.25,65
2020-06-05,53059,New York,4,1537.98,90
2020-06-06,53059,New York,5,2463.12,144
2020-06-07,53059,New York,6,1517.42,89
2020-06-01,80154,California,0,2915.41,171
2020-06-02,80154,California,1,2915.41,171
2020-06-03,80154,California,2,2977.08,175
2020-06-04,80154,California,3,3100.43,182
2020-06-05,80154,California,4,3532.17,207
2020-06-06,80154,California,5,4539.54,267
2020-06-07,80154,California,6,3429.37,201
2020-06-01,13388,New York,0,818.43,48
2020-06-02,13388,New York,1,756.75,44
2020-06-03,13388,New York,2,859.54,50
2020-06-04,13388,New York,3,1024.01,60
2020-06-05,13388,New York,4,1455.74,85
2020-06-06,13388,New York,5,2565.91,150
2020-06-07,13388,New York,6,1476.3,86
2020-06-01,38313,California,0,2935.97,172
2020-06-02,38313,California,1,2997.64,176
2020-06-03,38313,California,2,3038.76,178
2020-06-04,38313,California,3,3264.9,192
2020-06-05,38313,California,4,3532.17,207
2020-06-06,38313,California,5,4621.77,271
2020-06-07,38313,California,6,3470.49,204
2020-06-01,21774,New York,0,777.31,45
2020-06-02,21774,New York,1,921.22,54
2020-06-03,21774,New York,2,921.22,54
2020-06-04,21774,New York,3,1147.36,67
2020-06-05,21774,New York,4,1476.3,86
2020-06-06,21774,New York,5,2463.12,144
2020-06-07,21774,New York,6,1455.74,85
2020-06-01,19537,California,0,2730.38,160
2020-06-02,19537,California,1,2833.17,166
2020-06-03,19537,California,2,2977.08,175
2020-06-04,19537,California,3,3285.46,193
2020-06-05,19537,California,4,3449.93,202
2020-06-06,19537,California,5,4662.89,274
2020-06-07,19537,California,6,3552.72,208
2020-06-01,31238,New York,0,797.87,46
2020-06-02,31238,New York,1,900.66,52
2020-06-03,31238,New York,2,1065.13,62
2020-06-04,31238,New York,3,1147.36,67
2020-06-05,31238,New York,4,1517.42,89
2020-06-06,31238,New York,5,2442.56,143
2020-06-07,31238,New York,6,1394.07,82
2020-06-01,68739,California,0,2833.17,166
2020-06-02,68739,California,1,2894.85,170
2020-06-03,68739,California,2,2977.08,175
2020-06-04,68739,California,3,3264.9,192
2020-06-05,68739,California,4,3552.72,208
2020-06-06,68739,California,5,4560.1,268
2020-06-07,68739,California,6,3532.17,207
2020-06-01,69275,New York,0,756.75,44
2020-06-02,69275,New York,1,838.99,49
2020-06-03,69275,New York,2,962.34,56
2020-06-04,69275,New York,3,1167.92,68
2020-06-05,69275,New York,4,1435.19,84
2020-06-06,69275,New York,5,2565.91,150
2020-06-07,69275,New York,6,1579.1,92
2020-06-01,38442,California,0,2792.05,164
2020-06-02,38442,California,1,2935.97,172
2020-06-03,38442,California,2,3079.88,181
2020-06-04,38442,California,3,3203.23,188
2020-06-05,38442,California,4,3593.84,211
2020-06-06,38442,California,5,4601.21,270
2020-06-07,38442,California,6,3614.4,212
2020-06-01,86999,New York,0,838.99,49
2020-06-02,86999,New York,1,756.75,44
2020-06-03,86999,New York,2,982.9,57
2020-06-04,86999,New York,3,1167.92,68
2020-06-05,86999,New York,4,1476.3,86
2020-06-06,86999,New York,5,2483.68,146
2020-06-07,86999,New York,6,1476.3,86
2020-06-01,29749,California,0,2915.41,171
2020-06-02,29749,California,1,2956.52,173
2020-06-03,29749,California,2,3018.2,177
2020-06-04,29749,California,3,3264.9,192
2020-06-05,29749,California,4,3449.93,202
2020-06-06,29749,California,5,4642.33,273
2020-06-07,29749,California,6,3532.17,207
2020-06-01,98297,New York,0,736.19,43
2020-06-02,98297,New York,1,818.43,48
2020-06-03,98297,New York,2,1065.13,62
2020-06-04,98297,New York,3,1024.01,60
2020-06-05,98297,New York,4,1373.51,80
2020-06-06,98297,New York,5,2422.0,142
2020-06-07,98297,New York,6,1373.51,80
2020-06-01,72779,California,0,2730.38,160
2020-06-02,72779,California,1,2977.08,175
2020-06-03,72779,California,2,2935.97,172
2020-06-04,72779,California,3,3223.79,189
2020-06-05,72779,California,4,3593.84,211
2020-06-06,72779,California,5,4580.65,269
2020-06-07,72779,California,6,3614.4,212
2020-06-01,52080,New York,0,797.87,46
2020-06-02,52080,New York,1,921.22,54
2020-06-03,52080,New York,2,1065.13,62
2020-06-04,52080,New York,3,1147.36,67
2020-06-05,52080,New York,4,1537.98,90
2020-06-06,52080,New York,5,2463.12,144
2020-06-07,52080,New York,6,1579.1,92
2020-06-01,95348,California,0,2730.38,160
2020-06-02,95348,California,1,2833.17,166
2020-06-03,95348,California,2,2977.08,175
2020-06-04,95348,California,3,3100.43,182
2020-06-05,95348,California,4,3532.17,207
2020-06-06,95348,California,5,4662.89,274
2020-06-07,95348,California,6,3593.84,211
2020-06-01,44794,New York,0,818.43,48
2020-06-02,44794,New York,1,880.1,51
2020-06-03,44794,New York,2,1003.45,59
2020-06-04,44794,New York,3,1044.57,61
2020-06-05,44794,New York,4,1579.1,92
2020-06-06,44794,New York,5,2545.35,149
2020-06-07,44794,New York,6,1476.3,86
2020-06-01,63393,California,0,2792.05,164
2020-06-02,63393,California,1,2874.29,169
2020-06-03,63393,California,2,3018.2,177
2020-06-04,63393,California,3,3100.43,182
2020-06-05,63393,California,4,3429.37,201
2020-06-06,63393,California,5,4477.86,263
2020-06-07,63393,California,6,3552.72,208
2020-06-01,74700,New York,0,797.87,46
2020-06-02,74700,New York,1,941.78,55
2020-06-03,74700,New York,2,900.66,52
2020-06-04,74700,New York,3,1209.04,71
2020-06-05,74700,New York,4,1579.1,92
2020-06-06,74700,New York,5,2565.91,150
2020-06-07,74700,New York,6,1537.98,90
2020-06-01,57840,California,0,2915.41,171
2020-06-02,57840,California,1,2915.41,171
2020-06-03,57840,California,2,2977.08,175
2020-06-04,57840,California,3,3141.55,184
2020-06-05,57840,California,4,3573.28,210
2020-06-06,57840,California,5,4539.54,267
2020-06-07,57840,California,6,3593.84,211
2020-06-01,99093,New York,0,674.52,39
2020-06-02,99093,New York,1,777.31,45
2020-06-03,99093,New York,2,1044.57,61
2020-06-04,99093,New York,3,1188.48,69
2020-06-05,99093,New York,4,1558.54,91
2020-06-06,99093,New York,5,2401.44,141
2020-06-07,99093,New York,6,1435.19,84
2020-06-01,92097,California,0,2915.41,171
2020-06-02,92097,California,1,2812.61,165
2020-06-03,92097,California,2,3038.76,178
2020-06-04,92097,California,3,3100.43,182
2020-06-05,92097,California,4,3429.37,201
2020-06-06,92097,California,5,4642.33,273
2020-06-07,92097,California,6,3449.93,202
2020-06-01,64014,New York,0,715.63,42
2020-06-02,64014,New York,1,777.31,45
2020-06-03,64014,New York,2,900.66,52
2020-06-04,64014,New York,3,1065.13,62
2020-06-05,64014,New York,4,1435.19,84
2020-06-06,64014,New York,5,2401.44,141
2020-06-07,64014,New York,6,1455.74,85
2020-06-01,21095,California,0,2915.41,171
2020-06-02,21095,California,1,2956.52,173
2020-06-03,21095,California,2,2977.08,175
2020-06-04,21095,California,3,3162.11,186
2020-06-05,21095,California,4,3470.49,204
2020-06-06,21095,California,5,4518.98,265
2020-06-07,21095,California,6,3573.28,210
2020-06-01,95856,New York,0,880.1,51
2020-06-02,95856,New York,1,797.87,46
2020-06-03,95856,New York,2,1044.57,61
2020-06-04,95856,New York,3,1024.01,60
2020-06-05,95856,New York,4,1455.74,85
2020-06-06,95856,New York,5,2565.91,150
2020-06-07,95856,New York,6,1537.98,90
2020-06-01,75193,California,0,2730.38,160
2020-06-02,75193,California,1,2833.17,166
2020-06-03,75193,California,2,3100.43,182
2020-06-04,75193,California,3,3244.34,190
2020-06-05,75193,California,4,3593.84,211
2020-06-06,75193,California,5,4518.98,265
2020-06-07,75193,California,6,3429.37,201
